DwellingData_id,MPRN,Dwelling Address,Dwelling AddressLine1,Dwelling AddressLine2,Dwelling AddressLine3,Dwelling AddressLine4,Dwelling AddressLine5,Dwelling County,Dwelling PostCode,MPRN Address,MPRN unit no,MPRN house no,MPRN street,MPRN address1,MPRN address2,MPRN address4,MPRN address5,MPRN city,MPRN county,MPRN county name,Status,Percent_Match,BUILDING_ID,ADDRESS_REFERENCE,EIRCODE,SMALL_AREA_REF,Geo_Address,LATITUDE,LONGITUDE
13725.0,10001405373.0,TOP FLOOR APT 5 6 TALBOT ST DUBLIN 1 ,TOP FLOOR,APARTMENT 5 6 TALBOT STREET,,,,7.0,,APT 5 6 TALBOT STREET TOP FLOOR FRONT DUBLIN 1 DB,APARTMENT 5,6,TALBOT STREET,TOP FLOOR FRONT,,,,DUBLIN 1,DUBLIN,,SAME_SA_NO_NUMs,,,,,268109007,,,
13740.0,10001405380.0,APT NO 6 6 TALBOT STREET DUBLIN 1 D1,APARTMENT 6,6 TALBOT STREET,,,,7.0,D1,APT 6 6 TALBOT STREET TOP FLOOR REAR DUBLIN 1 DB,APARTMENT 6,6,TALBOT STREET,TOP FLOOR REAR,,,,DUBLIN 1,DUBLIN,,MATCH,,50515681,5051568133531041,D01YP74,268106019,APARTMENT 6 6 TALBOT STREET DUBLIN 1 D01YP74      ,53.3504408752907,-6.2573323414110495
13659.0,10001405331.0,FIST FLOOR FRONT APT 1 6 TALBOT STREET DUBLIN 1 D1,FIST FLOOR FRONT,APARTMENT 1 6 TALBOT STREET ,,,,7.0,D1,APT 1 6 TALBOT STREET FIRST FLOOR FRONT DUBLIN 1 DB,APARTMENT 1,6,TALBOT STREET,FIRST FLOOR FRONT,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
31091.0,10000566392.0,3 GANDON HOUSE MAYOR STREET DUBLIN 1 ,3 GANDON HOUSE,MAYOR STREET,,,,7.0,,3 GANDON HOUSE MAYOR ST DUBLIN 1 DB,,3,GANDON HOUSE MAYOR STREET,,,,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268109007,,,
31082.0,10000561681.0,BLOCK B APT 28 BERESFORD HOUSE MAYOR STREET DUBLIN 1 ,BLOCK B,APARTMENT 28 BERESFORD HOUSE,MAYOR STREET,,,7.0,,APT 28 BERESFORD HOUSE BLOCK B MAYOR STREET DUBLIN 1 DB,APARTMENT 28,,BERESFORD HOUSE,BLOCK B,,MAYOR STREET,,DUBLIN 1,DUBLIN,,,,,,,,,,
16985.0,10000575515.0,9 SEVILLE TERRECE NORTHWALL DUBLIN 1 ,9 SEVILLE TERRECE,NORTHWALL,,,,7.0,,9 SEVILLE TERRACE NORTH STRAND DUBLIN 1 DB,,9,SEVILLE TERRACE,,,NORTH STRAND,,DUBLIN 1,DUBLIN,,,,,,,,,,
21750.0,10001396434.0,ARKLE HOUSE APT 3 57 58 TALBOT STREET DUBLIN 1 ,ARKLE HOUSE,APARTMENT 3 57 58 TALBOT STREET,,,,7.0,,APT 3 57 58 TALBOT STREET ARKLE HOUSE DUBLIN 1 DB,APARTMENT 3,57 58,TALBOT STREET,ARKLE HOUSE,,,,DUBLIN 1,DUBLIN,,SAME_SA_NO_NUMs,,,,,268104001,,,
29297.0,10001407762.0,27C LIBERTY HOUSE CORPORATION STREET DUBLIN 1 ,27C LIBERTY HOUSE,CORPORATION STREET,,,,7.0,,27C LIBERTY HOUSE CORPORATION ST DUBLIN 1 DB,,27C,LIBERTY HOUSE,,,CORPORATION STREET,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
23850.0,10001407729.0,24C LIBERTY HOUSE CORPORATION STREET DUBLIN 7 ,24C LIBERTY HOUSE,CORPORATION STREET,,,,14.0,,24C LIBERTY HOUSE CORPORATION ST DUBLIN 1 DB,,24C,LIBERTY HOUSE,,,CORPORATION STREET,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
33327.0,10001425019.0,NO 19 BLOCK C KILLARNEY COURT KILLARNEY STREET DUBLIN 1 ,19 BLOCK C,KILLARNEY COURT,KILLARNEY STREET,,,7.0,,19 KILLARNEY COURT BLOCK C2 DUBLIN 1 DB,,19,KILLARNEY COURT,BLOCK C2,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
34223.0,10020472651.0,PORTLAND LOCK APARTMENTS APARTMENT 21 DORSET STREET DUBLIN 1 ,PORTLAND LOCK APARTMENTS,APARTMENT 21,DORSET STREET,,,7.0,,APT 21 DORSET STREET PORTLAND LOCK APTS DUBLIN 1 DB,APARTMENT 21,,DORSET STREET,PORTLAND LOCK APARTMENTS,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
34531.0,10001457296.0,UNIT 33 GEORGE STREEET DUBLIN 1 DUBLIN 1,UNIT 33,GEORGE STREEET,,,,7.0,DUBLIN 1,APT 2 33 BELVEDERE COURT NORTH GREAT GEORGES ST DUBLIN 1 DB,APARTMENT 2,33,BELVEDERE COURT,,,NORTH GREAT GEORGES STREET,,DUBLIN 1,DUBLIN,,MANY RESULTS,,,,,,,,
34501.0,10001457422.0,UNIT 32 GEORGE STREET DUBLIN 1 DUBLIN 1,UNIT 32,GEORGE STREET,,,,7.0,DUBLIN 1,32 NORTH GREAT GEORGES STREET 3 BELVEDERE COURT DUBLIN 1 DB,,32,NORTH GREAT GEORGES STREET,3 BELVEDERE COURT,,,,DUBLIN 1,DUBLIN,,MANY RESULTS,,,,,,,,
35545.0,10001458774.0,APT 1 35 MOUNTJOY SQUARE DUBLIN 1 ,APARTMENT 1 35 MOUNTJOY SQUARE,,,,,7.0,,APT 1 35 MOUNTJOY SQUARE DUBLIN 1 DB,APARTMENT 1,35,MOUNTJOY SQUARE,,,,,DUBLIN 1,DUBLIN,,MANY RESULTS,,,,,,,,
25081.0,10303287784.0,APT 8 WELLINGTON COURT WELLINGTON STREET UPPER DUBLIN 1 ,APARTMENT 8,WELLINGTON COURT,WELLINGTON STREET UPPER,,,7.0,,APT 8 WELLINGTON COURT WELLINGTON COURT WELLINGTON STREET UPPER DUBLIN 1 DB,APARTMENT 8,,WELLINGTON COURT,,WELLINGTON COURT,WELLINGTON STREET UPPER,,DUBLIN 1,DUBLIN,,,,,,,,,,
26501.0,10000552235.0,92 DERRYNANE SQUARE LOWER DORSET STREET DUBLIN 1 ,92 DERRYNANE SQUARE,LOWER DORSET STREET ,,,,7.0,,92 DERRYNANE SQUARE LOWER DORSET ST DUBLIN 1 DB,,92,DERRYNANE SQUARE LOWER DORSET STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
26414.0,10001345968.0,35 HA PENNY BRIDGE HOUSE LOWER ORMOND DUBLIN 1 ,35 HA PENNY BRIDGE HOUSE,LOWER ORMOND,,,,7.0,,35 HAPENNY BRIDGE HOUSE LOWER ORMOND QUAY DUBLIN 1 DB,,35,HAPENNY BRIDGE HOUSE,,,LOWER ORMOND QUAY,,DUBLIN 1,DUBLIN,,,,,,,,,,
27064.0,10001403304.0,100B GARDENER STREET LOWER DUBLIN 1 ,100B GARDENER STREET LOWER,,,,,7.0,,100B GARDINER ST FLATS DUBLIN 1 DB,,100B,GARDINER STREET FLATS,,,,,DUBLIN 1,DUBLIN,,CANT FIND,,,,,,,,
12349.0,10000437060.0,FLAT NO 2 GROUND FLOOR 613 NORTH CIRCULAR ROAD DUBLIN 7 ,FLAT 2 GROUND FLOOR,613 NORTH CIRCULAR ROAD ,,,,14.0,,613 NORTH CIRCULAR ROAD DUBLIN 1 DB,,613,NORTH CIRCULAR ROAD,,,,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268106001,,,
12989.0,10000439256.0,BASEMENT 617 NORTH CIRCULAR ROAD DUBLIN 1 ,BASEMENT,617 NORTH CIRCULAR ROAD ,,,,7.0,,617 NORTH CIRCULAR ROAD BASEMENT DUBLIN 1 DB,,617,NORTH CIRCULAR ROAD,BASEMENT,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
36445.0,10001457529.0,APT 32 BELVEDERE COURT NORTH GREAT GEORGES ST DUBLIN 1 ,APARTMENT 32,BELVEDERE COURT ,NORTH GREAT GEORGES STREET ,,,7.0,,32 BELVEDERE COURT NORTH GREAT GEORGES STREET DUBLIN 1 DB,,32,BELVEDERE COURT,,,NORTH GREAT GEORGES STREET,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268138014,,,
12990.0,10000438438.0,GROUND FLOOR 617 NORTH CIRCULAR ROAD DUBLIN 1 ,GROUND FLOOR,617 NORTH CIRCULAR ROAD ,,,,7.0,,617 NORTH CIRCULAR ROAD GROUND FLOOR DUBLIN 1 DB,,617,NORTH CIRCULAR ROAD,GROUND FLOOR,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
12992.0,10000438574.0,TOP FLAT 617 NORTH CIRCULAR ROAD DUBLIN 1 ,TOP FLAT,617 NORTH CIRCULAR ROAD ,,,,7.0,,617 NORTH CIRCULAR ROAD TOP FLAT DUBLIN 1 DB,,617,NORTH CIRCULAR ROAD,TOP FLAT,,,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268010014,,,
12991.0,10000437107.0,FIRST FLOOR 617 NORTH CIRCULAR ROAD DUBLIN 1 ,FIRST FLOOR,617 NORTH CIRCULAR ROAD ,,,,7.0,,617 NORTH CIRCULAR ROAD SECOND FLOOR DUBLIN 1 DB,,617,NORTH CIRCULAR ROAD,SECOND FLOOR,,,,DUBLIN 1,DUBLIN,,SAME_SA,,,,,268010014,,,
12993.0,10000438661.0,BASEMENT FLAT 611 NORTH CIRCULAR ROAD DUBLIN 1 ,BASEMENT FLAT,611 NORTH CIRCULAR ROAD ,,,,7.0,,611 NORTH CIRCULAR ROAD BASEMENT FLAT DUBLIN 1 DB,,611,NORTH CIRCULAR ROAD,BASEMENT FLAT,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
28150.0,10000559171.0,APT10 BLOCK2 CLARION QUAYEXCISE WALK IFSC DUBLIN 1 1,APARTMENT 10 BLOCK2,CLARION QUAY EXCISE WALK ,IFSC,,,7.0,1,10 CLARION QUAY BLOCK 2 NORTH WALL DUBLIN 1 DB,,10,CLARION QUAY,BLOCK 2,,NORTH WALL,,DUBLIN 1,DUBLIN,,,,,,,,,,
57707.0,10001422817.0,APT 1 12 NORTH GREAT GEORGES STREET DUBLIN 1 ,APARTMENT 1,12 NORTH GREAT GEORGES STREET,,,,7.0,,12 NORTH GREAT GEORGES STREET APT 1 DUBLIN 1 DB,,12,NORTH GREAT GEORGES STREET,APARTMENT 1,,,,DUBLIN 1,DUBLIN,,MATCH_Fuzzy,98,50242613,5024261332191602,D01V124,268138015,APARTMENT 1 12 NORTH GREAT GEORGE'S STREET DUBLIN 1 D01V124      ,53.3545382528134,-6.2610936906722
44314.0,10302949449.0,58 THE OATHOUSE BAKERS YARD PORTLAND STREET NORTH DUBLIN 1 DUBLIN 1,58 THE OATHOUSE,BAKERS YARD,PORTLAND STREET NORTH,,,7.0,DUBLIN 1,APT 58 THE OAT HOUSE BAKERS YARD PORTLAND STREET NORTH DUBLIN 1 DB,APARTMENT 58,,THE OAT HOUSE,,,BAKERS YARD,PORTLAND STREET NORTH,DUBLIN 1,DUBLIN,,,,,,,,,,
44347.0,10302949415.0,55 THE OATHOUSE BAKERS YARD PORTLAND STREET NORTH DUBLIN 1 DUBLIN 1,55 THE OATHOUSE,BAKERS YARD,PORTLAND STREET NORTH,,,7.0,DUBLIN 1,APT 55 THE OAT HOUSE BAKERS YARD PORTLAND STREET NORTH DUBLIN 1 DB,APARTMENT 55,,THE OAT HOUSE,,,BAKERS YARD,PORTLAND STREET NORTH,DUBLIN 1,DUBLIN,,,,,,,,,,
21117.0,10001314680.0,253 BATCHELORS WALK BATCHELORS QUAY DUBLIN 1 DUBLIN 1 D1,253 BATCHELORS WALK,BATCHELORS QUAY,DUBLIN 1,,,7.0,D1,253 BACHELORS WALK DUBLIN 1 DB,,253,BACHELORS WALK,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
36551.0,10021308681.0,APARTMENT 63 16 KINGS INNS PARNELL STREET DUBLIN 1 DUBLIN 1,APARTMENT 63,16 KINGS INNS,PARNELL STREET,,,7.0,DUBLIN 1,KINGS INN STREET APT 63 DUBLIN 1 DB,,,KINGS INN STREET,APARTMENT 63,,,,DUBLIN 1,DUBLIN,,MATCH_Fuzzy,73,32317673,3231767332317746,D01Y044,268106009,APARTMENT 63 KING'S COURT PARNELL STREET DUBLIN 1 D01Y044     ,53.3507664343957,-6.26480136615419
36547.0,10021308586.0,APT 53 16 KINGS INNS PARNELL STREET DUBLIN 1 DUBLIN 1,APARTMENT 53,16 KINGS INNS,PARNELL STREET,,,7.0,DUBLIN 1,KINGS INN STREET APT 53 DUBLIN 1 DB,,,KINGS INN STREET,APARTMENT 53,,,,DUBLIN 1,DUBLIN,,MATCH_Fuzzy,73,32317673,3231767332317736,D01YX39,268106009,APARTMENT 53 KING'S COURT PARNELL STREET DUBLIN 1 D01YX39     ,53.3507664343957,-6.26480136615419
28624.0,10001362074.0,6 DOMINICK COURT UPPER DOMINICK STREET DUBLIN 7 ,6 DOMINICK COURT,UPPER DOMINICK STREET ,,,,14.0,,6 DOMINICK COURT UPPER DOMINICK ST DUBLIN 1 DB,,6,DOMINICK COURT,,,UPPER DOMINICK STREET,,DUBLIN 1,DUBLIN,,,,,,,,,,
37511.0,10303616796.0,APT 3 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 3,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 3 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 3,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37507.0,10303616789.0,APT 2 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 2,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 2 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 2,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37496.0,10303616777.0,APT 1 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 1,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 1 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 1,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37515.0,10303616901.0,APT 4 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 4,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 4 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 4,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37604.0,10303616943.0,APT 8 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 8,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 8 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 8,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37680.0,10303616985.0,APT 12 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 12,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 12 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 12,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37551.0,10303616914.0,APT 5 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 5,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 5 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 5,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37634.0,10303616962.0,APT 10 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 10,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 10 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 10,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37624.0,10303616950.0,APT 9 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 9,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 9 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 9,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37777.0,10303617146.0,APT 28 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 28,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 28 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 28,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37781.0,10303617182.0,APT 32 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 32,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 32 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 32,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37721.0,10303617010.0,APT 15 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 15,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 15 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 15,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37773.0,10303617117.0,APT 25 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 25,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 25 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 25,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37778.0,10303617158.0,APT 29 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 29,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 29 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 29,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37779.0,10303617165.0,APT 30 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 30,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 30 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 30,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37784.0,10303617194.0,APT 33 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 33,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 33 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 33,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37664.0,10303616978.0,APT 11 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 11,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 11 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 11,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37735.0,10303617044.0,APT 18 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 18,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 18 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 18,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37766.0,10303617089.0,APT 22 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 22,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 22 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 22,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37805.0,10303617256.0,APT 39 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 39,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 39 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 39,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37772.0,10303617109.0,APT 24 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 24,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 24 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 24,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37559.0,10303616929.0,APT 6 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 6,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 6 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 6,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37697.0,10303616997.0,APT 13 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 13,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 13 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 13,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37769.0,10303617096.0,APT 23 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 23,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 23 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 23,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37775.0,10303617121.0,APT 26 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 26,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 26 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 26,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37789.0,10303617357.0,APT 49 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 49,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 49 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 49,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37811.0,10303617390.0,APT 53 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 53,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 53 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 53,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37823.0,10303617345.0,APT 48 CANON HALL EAST ROAD DOCKLANDS DUBLIN 1 ,APARTMENT 48,CANON HALL,EAST ROAD DOCKLANDS,,,7.0,,APT 48 2526 SHERIFF STREET DUBLIN 1 DB,APARTMENT 48,25 26,SHERIFF STREET,,,,,DUBLIN 1,DUBLIN,,,,,,,,,,
37677.0,10001383119.0,APARTMENT NO 74 STEWARTS HALL RYDERS ROW DUBLIN 1 ,APARTMENT 74,STEWARTS HALL,RYDERS ROW,,,7.0,,74 STEWART HALL RYDERS ROW DUBLIN 1 DB,,74,STEWART HALL,,,RYDERS ROW,,DUBLIN 1,DUBLIN,,,,,,,,,,
